Country Code,Year,data_quality_life_expectancy,Income,Population,Country,Region
alb,1908,4,1408,872955,Albania,europe
alb,1909,4,1426,880526,Albania,europe
alb,1910,4,1445,887729,Albania,europe
alb,1911,4,1464,894559,Albania,europe
alb,1912,4,1483,901008,Albania,europe
alb,1913,4,1503,907070,Albania,europe
alb,1914,4,1516,913173,Albania,europe
alb,1915,4,1528,919317,Albania,europe
alb,1916,4,1541,925502,Albania,europe
alb,1917,3,1554,931729,Albania,europe
alb,1918,3,1567,937735,Albania,europe
alb,1919,3,1580,943550,Albania,europe
alb,1920,4,1593,949173,Albania,europe
alb,1921,4,1606,954600,Albania,europe
alb,1922,4,1619,959829,Albania,europe
alb,1923,4,1633,964858,Albania,europe
alb,1924,4,1646,969914,Albania,europe
alb,1925,4,1660,974995,Albania,europe
alb,1926,4,1674,980104,Albania,europe
alb,1927,4,1688,985239,Albania,europe
alb,1928,4,1702,990401,Albania,europe
alb,1929,4,1716,996604,Albania,europe
alb,1930,4,1722,1003863,Albania,europe
alb,1931,4,1729,1012195,Albania,europe
alb,1932,4,1735,1021616,Albania,europe
alb,1933,4,1742,1032142,Albania,europe
alb,1934,4,1748,1042776,Albania,europe
alb,1935,4,1755,1053520,Albania,europe
alb,1936,4,1761,1064375,Albania,europe
alb,1937,4,1768,1075341,Albania,europe
alb,1938,3,1774,1086421,Albania,europe
alb,1939,3,1781,1098015,Albania,europe
alb,1940,3,1787,1110133,Albania,europe
alb,1941,3,1794,1122787,Albania,europe
alb,1942,3,1801,1135986,Albania,europe
alb,1943,3,1808,1149741,Albania,europe
alb,1944,3,1814,1163663,Albania,europe
alb,1945,3,1821,1177753,Albania,europe
alb,1946,3,1828,1192014,Albania,europe
alb,1947,3,1835,1206448,Albania,europe
alb,1948,3,1842,1221056,Albania,europe
alb,1949,3,1848,1239906,Albania,europe
alb,1950,2,1855,1263164,Albania,europe
alb,1951,2,1937,1287499,Albania,europe
alb,1952,2,1938,1316090,Albania,europe
alb,1953,2,2018,1348113,Albania,europe
alb,1954,2,2075,1382898,Albania,europe
alb,1955,2,2188,1419991,Albania,europe
alb,1956,2,2211,1459115,Albania,europe
alb,1957,2,2352,1500180,Albania,europe
alb,1958,2,2457,1543256,Albania,europe
alb,1959,2,2559,1588506,Albania,europe
alb,1960,2,2689,1636091,Albania,europe
alb,1961,2,2715,1685926,Albania,europe
alb,1962,2,2808,1737675,Albania,europe
alb,1963,2,2908,1790571,Albania,europe
alb,1964,2,3011,1843649,Albania,europe
alb,1965,2,3126,1896175,Albania,europe
alb,1966,2,3247,1947836,Albania,europe
alb,1967,2,3376,1998743,Albania,europe
alb,1968,2,3502,2049214,Albania,europe
alb,1969,2,3626,2099738,Albania,europe
alb,1970,2,3766,2150704,Albania,europe
alb,1971,2,3922,2202186,Albania,europe
alb,1972,2,4080,2254058,Albania,europe
alb,1973,2,4289,2306284,Albania,europe
alb,1974,2,4312,2358852,Albania,europe
alb,1975,2,4332,2411733,Albania,europe
alb,1976,2,4357,2464981,Albania,europe
alb,1977,2,4382,2518685,Albania,europe
alb,1978,2,4406,2572852,Albania,europe
alb,1979,2,4436,2627506,Albania,europe
alb,1980,2,4472,2682697,Albania,europe
alb,1981,2,4503,2737018,Albania,europe
alb,1982,2,4535,2790284,Albania,europe
alb,1983,2,4567,2844867,Albania,europe
alb,1984,2,4599,2904142,Albania,europe
alb,1985,2,4629,2969671,Albania,europe
alb,1986,2,4665,3044201,Albania,europe
alb,1987,2,4700,3124892,Albania,europe
